file1;file2;rabit-runtime;rabit-retcode;rabit-states_cnt;forklift-runtime;forklift-retcode;forklift-states_cnt;bait-runtime;bait-retcode;bait-states_cnt;kofola_fast-runtime;kofola_fast-retcode;kofola_fast-states_cnt;kofola_fast_early-runtime;kofola_fast_early-retcode;kofola_fast_early-states_cnt;kofola_fast_early_plus-runtime;kofola_fast_early_plus-retcode;kofola_fast_early_plus-states_cnt;kofola_fast_early_early_plus-runtime;kofola_fast_early_early_plus-retcode;kofola_fast_early_early_plus-states_cnt;autfilt_64-runtime;autfilt_64-retcode;autfilt_64-states_cnt;kofola_fast_cnt-runtime;kofola_fast_cnt-retcode;kofola_fast_cnt-states_cnt;kofola_fast_early_cnt-runtime;kofola_fast_early_cnt-retcode;kofola_fast_early_cnt-states_cnt;kofola_fast_early_plus_cnt-runtime;kofola_fast_early_plus_cnt-retcode;kofola_fast_early_plus_cnt-states_cnt;kofola_fast_early_early_plus_cnt-runtime;kofola_fast_early_early_plus_cnt-retcode;kofola_fast_early_early_plus_cnt-states_cnt;autfilt_64_cnt-runtime;autfilt_64_cnt-retcode;autfilt_64_cnt-states_cnt
automata/hyperltl/gni_lmcs_p1_1bit_A.hoa;automata/hyperltl/gni_lmcs_p1_1bit_B.hoa;0.02;0;;0.05;0;;0.09;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;5;0.0;0;5;0.0;0;5;0.0;0;5;0.0;0;5
automata/hyperltl/gni_lmcs_p1_1bit_B.hoa;automata/hyperltl/gni_lmcs_p1_1bit_A.hoa;0.02;0;;0.05;0;;0.09;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;5;0.0;0;5;0.0;0;5;0.0;0;5;0.01;0;5
automata/hyperltl/gni_lmcs_p2_1bit_A.hoa;automata/hyperltl/gni_lmcs_p2_1bit_B.hoa;0.04;0;;0.09;0;;0.14;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.01;0;;0.0;0;31;0.0;0;28;0.0;0;28;0.0;0;28;0.0;0;27
automata/hyperltl/gni_lmcs_p2_1bit_B.hoa;automata/hyperltl/gni_lmcs_p2_1bit_A.hoa;0.05;0;;0.07;0;;0.12;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.01;0;;0.0;0;13;0.0;0;12;0.0;0;12;0.0;0;12;0.0;0;11
automata/hyperltl/gni_lmcs_p2_2bit_A.hoa;automata/hyperltl/gni_lmcs_p2_2bit_B.hoa;0.17;0;;1.09;0;;2.23;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.01;0;;0.0;0;307;0.0;0;292;0.0;0;292;0.0;0;292;0.0;0;291
automata/hyperltl/gni_lmcs_p2_2bit_B.hoa;automata/hyperltl/gni_lmcs_p2_2bit_A.hoa;0.18;0;;0.83;0;;2.06;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;31;0.0;0;28;0.0;0;28;0.0;0;28;0.0;0;27
automata/hyperltl/gni_lmcs_p2_4bit_A.hoa;automata/hyperltl/gni_lmcs_p2_4bit_B.hoa;ERR;ERR;ERR;TO;TO;TO;ERR;ERR;ERR;0.32;0;;0.34;0;;0.32;0;;0.34;0;;0.08;0;;0.31;0;66307;0.33;0;66052;0.32;0;66052;0.32;0;66052;0.09;0;66051
automata/hyperltl/gni_lmcs_p2_4bit_B.hoa;automata/hyperltl/gni_lmcs_p2_4bit_A.hoa;ERR;ERR;ERR;108.79;1;;ERR;ERR;ERR;0.11;0;;0.1;0;;0.1;0;;0.1;0;;0.58;0;;0.1;0;307;0.11;0;292;0.1;0;292;0.11;0;292;0.61;0;291
automata/hyperltl/gni_lmcs_p3_1bit_A.hoa;automata/hyperltl/gni_lmcs_p3_1bit_B.hoa;0.24;0;;0.09;1;;0.15;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.01;0;;0.0;0;114;0.0;0;114;0.0;0;114;0.01;0;114;0.0;0;114
automata/hyperltl/gni_lmcs_p3_1bit_B.hoa;automata/hyperltl/gni_lmcs_p3_1bit_A.hoa;0.26;0;;0.1;1;;0.15;0;;0.0;0;;0.01;0;;0.0;0;;0.0;0;;0.01;0;;0.0;0;22;0.0;0;22;0.0;0;22;0.0;0;22;0.01;0;22
automata/hyperltl/gni_lmcs_p3_3bit_A.hoa;automata/hyperltl/gni_lmcs_p3_3bit_B.hoa;80.77;0;;2.7;1;;34.99;0;;0.11;0;;0.09;0;;0.09;0;;0.1;0;;0.03;0;;0.08;0;20994;0.09;0;20994;0.07;0;20994;0.08;0;20994;0.03;0;20994
automata/hyperltl/gni_lmcs_p3_3bit_B.hoa;automata/hyperltl/gni_lmcs_p3_3bit_A.hoa;ERR;ERR;ERR;70.0;1;;34.76;0;;0.05;0;;0.05;0;;0.05;0;;0.03;0;;0.08;0;;0.05;0;235;0.05;0;235;0.04;0;235;0.04;0;235;0.08;0;226
automata/hyperltl/gni_lmcs_p4_1bit_A.hoa;automata/hyperltl/gni_lmcs_p4_1bit_B.hoa;0.12;0;;0.13;1;;0.18;0;;0.0;0;;0.0;0;;0.0;0;;0.01;0;;0.0;0;;0.0;0;161;0.0;0;161;0.0;0;161;0.0;0;161;0.0;0;161
