name;kofola_high_cnt-runtime;kofola_high_cnt-retcode;kofola_high_cnt-states_cnt;kofola_high-runtime;kofola_high-retcode;kofola_high-states_cnt;kofola_medium_cnt-runtime;kofola_medium_cnt-retcode;kofola_medium_cnt-states_cnt;kofola_medium-runtime;kofola_medium-retcode;kofola_medium-states_cnt;kofola_low_cnt-runtime;kofola_low_cnt-retcode;kofola_low_cnt-states_cnt;kofola_low-runtime;kofola_low-retcode;kofola_low-states_cnt;kofola_no_preproc_cnt-runtime;kofola_no_preproc_cnt-retcode;kofola_no_preproc_cnt-states_cnt;kofola_no_preproc-runtime;kofola_no_preproc-retcode;kofola_no_preproc-states_cnt;autfilt_cnt-runtime;autfilt_cnt-retcode;autfilt_cnt-states_cnt;autfilt-runtime;autfilt-retcode;autfilt-states_cnt
automata/termination/CookSeeZuleger-TACAS2013-Fig1_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/CookSeeZuleger-TACAS2013-Fig1_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;9;0.0;1;;0.0;1;9;0.0;1;;0.0;1;9;0.0;1;;0.01;1;8;0.0;1;;0.01;1;12;0.0;1;
automata/termination/CookSeeZuleger-TACAS2013-Fig7b_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/CookSeeZuleger-TACAS2013-Fig7b_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;9;0.0;1;;0.0;1;9;0.0;1;;0.0;1;9;0.0;1;;0.0;1;8;0.0;1;;0.0;1;17;0.0;1;
automata/termination/CookSeeZuleger-TACAS2013-Fig7b_true-termination_true-no-overflow.c_Iteration3_A.ba.hoa;automata/termination/CookSeeZuleger-TACAS2013-Fig7b_true-termination_true-no-overflow.c_Iteration3_B.ba.hoa;0.0;1;39;0.0;1;;0.0;1;39;0.0;1;;0.01;1;39;0.0;1;;0.0;1;35;0.0;1;;0.0;1;42;0.0;1;
automata/termination/CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;9;0.0;1;;0.0;1;9;0.0;1;;0.0;1;9;0.01;1;;0.01;1;8;0.0;1;;0.01;1;12;0.0;1;
automata/termination/CookSeeZuleger-TACAS2013-Fig8a_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/CookSeeZuleger-TACAS2013-Fig8a_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;12;0.0;1;;0.0;1;12;0.0;1;;0.0;1;12;0.0;1;;0.0;1;10;0.0;1;;0.0;1;11;0.0;1;
automata/termination/CookSeeZuleger-TACAS2013-Fig8b_true-termination_true-no-overflow.c_Iteration3_A.ba.hoa;automata/termination/CookSeeZuleger-TACAS2013-Fig8b_true-termination_true-no-overflow.c_Iteration3_B.ba.hoa;0.0;1;9;0.0;1;;0.0;1;9;0.0;1;;0.0;1;9;0.0;1;;0.0;1;9;0.0;1;;0.01;1;9;0.0;1;
automata/termination/Ex06_false-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/Ex06_false-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;6;0.0;1;;0.0;1;6;0.0;1;;0.0;1;6;0.0;1;;0.0;1;5;0.0;1;;0.01;1;9;0.0;1;
automata/termination/Ex06_false-termination_true-no-overflow.c_Iteration3_A.ba.hoa;automata/termination/Ex06_false-termination_true-no-overflow.c_Iteration3_B.ba.hoa;0.0;1;7;0.0;1;;0.0;1;7;0.0;1;;0.0;1;7;0.0;1;;0.0;1;7;0.0;1;;0.0;1;20;0.0;1;
automata/termination/Flip2_false-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/Flip2_false-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;11;0.0;1;;0.0;1;11;0.01;1;;0.01;1;11;0.0;1;;0.01;1;11;0.0;1;;0.0;1;7;0.0;1;
automata/termination/Flip2_false-termination_true-no-overflow.c_Iteration3_A.ba.hoa;automata/termination/Flip2_false-termination_true-no-overflow.c_Iteration3_B.ba.hoa;0.01;1;43;0.01;1;;0.01;1;43;0.0;1;;0.01;1;43;0.0;1;;0.0;1;43;0.0;1;;0.01;1;21;0.0;1;
